#
# The g8b run table. This is in a format which can be handled by TExpTable (a root class by K.Livingston).
#
# It is "extensible". If you want to add a column of your own please do so.
# The variable name must have no spaces in it, and the type must be %d, %f or %s.
# There MUST be a corresponding entry in every row.
#
# To generate the header for this, run the script table2header like this:
# Defined variables in header file: allruns.h
#
# The header defines c variables with an RT_ prefix for each variable name.
# eg. int RT_Run; for "Run", etc.
#
#You need to include this in your analysis code
#Something like this
#
#//----------------------------------- myanalysis.C -----------------------------------------
##include "allruns.h"
#...
#...
#...
#class TExpTable *expTable;
#...
#...
#char **filelist[]={"clas_47848.A00.root","clas_47849.A02.root",.....,NULL};
#...
#myanalysis(){
#  char *file;
#  int fcounter=0,run;
#  expTable = new TExpTable("dat/allruns.dat",RunTableVariables); //create a table object
#  ...
#  ...
#  while((file=filelist[fcounter++])!=NULL){                      //loop over all files
#    sscanf(strchr(file,'_')+1,"%d",&run);                        //get run number from filename
#    expTable->GetAllForValue(run,"Run");                         //update all variables for this run
#
#    if(RT_Radiat==AMO) myAmoFileRoutine();                       //do something based on a RT variable
#  }
#}
#
#
#//------------------------------------------------------------------------------------------
Variables: Run AmoRun S_Date   S_Time  File    Event  Time  Target  LiveF   LiveC   Beam    I   Torus Mini ec_hi ec_lo cc_hi FcupA   Radiat  Good 	Edge Comment
Types:     %d   %d      %s       %s      %d      %d    %d    %s      %f       %f     %d     %f     %d   %d   %d   %d   %d       %d       %s    %s 	%f   %s
Row:     47827 47829 05-06-28    16:31   28 20252408   75  D2_full  0.91     0.91   4558    7.0   1928   0   28   28   50   115482    DPERP    G	1.5  -
Row:     47828 47829 05-06-28    17:50   29 20492108   68  D2_full  0.90     0.90   4558   10.0   1928   0   28   28   50    98544    DPERP    G	1.5  -
Row:     47829 47829 05-06-28    19:10   26 20217350   66  D2_full  0.90     0.90   4558    8.0   1928   0   28   28   50   103056      AMO    G	1.5  -
Row:     47830 47830 05-06-28    20:23   27 21341404   72  D2_full  0.90     0.90   4558    8.0   1928   0   28   28   50   110312      AMO    G	1.5  -
Row:     47831 47830 05-06-28    21:47   29 20445717   76  D2_full  0.90     0.90   4558   10.0   1928   0   28   28   50   115467    DPERP    G	1.5  -
Row:     47832 47830 05-06-28    23:08   22 15519656   99  D2_full  0.91     0.91   4558   10.0   1928   0   28   28   50    98311    DPERP    G	1.5  -
Row:     47833 47833 05-06-29    01:56   26 20070915  129  D2_full  0.91     0.91   4558    8.0   1928   0   28   28   50   127712      AMO    G	1.5  -
Row:     47834 47834 05-06-29    04:10   26 20522728   67  D2_full  0.90     0.90   4558    8.0   1928   0   28   28   50   117808      AMO    G	1.5  -
Row:     47835 47834 05-06-29    05:23   33 23792019   81  D2_full  0.90     0.90   4558   10.0   1928   0   28   28   50   137704    DPERP    G	1.5  -
Row:     47836 47834 05-06-29    06:48   28 20479518   76  D2_full  0.91     0.91   4558   10.0   1928   0   28   28   50   129355    DPERP    G	1.5  -
Row:     47837 47837 05-06-29    08:17   26 20452087   66  D2_full  0.90     0.90   4558    8.0   1928   0   28   28   50   121004      AMO    G	1.5  -
Row:     47838 47837 05-06-29    09:26   13 10013498   37  D2_full  0.91     0.91   4558    8.0   1928   0   28   28   50    63050      AMO    G	1.5  -
Row:     47839 47837 05-06-29    10:08   20 14174174   73  D2_full  0.91     0.91   4558   10.1   1928   0   28   28   50    96264    DPERP    G	1.5  -
Row:     47840 47837 05-06-29    11:25   28 20362507   95  H2_full  0.90     0.90   4558   10.0   1928   0   28   28   50   119487    DPERP    G	1.5  -
Row:     47842 47837 05-06-29    13:09   31 22257812   81  H2_full  0.91     0.91   4558   10.0   1928   0   28   28   50   143111    DPERP    G	1.5  -
Row:     47843 47843 05-06-29    14:57   27 20886902   76  H2_full  0.90     0.90   4558   10.0   1928   0   28   28   50   120743      AMO    G	1.5  -
Row:     47844 47843 05-06-29    16:48   28 20259662   68  H2_full  0.90     0.90   4558   10.0   1928   0   28   28   50   121136    DPERP    G	1.5  -
Row:     47845 47843 05-06-29    17:59   11  7875253   29  H2_full  0.91     0.91   4558   10.0   1928   0   28   28   50    53593    DPERP    G	1.5  -
Row:     47846 47843 05-06-29    18:36   31 22368701   73  H2_full  0.90     0.90   4558   10.0   1928   0   28   28   50   134184    DPERP    G	1.5  -
Row:     47847 47843 05-06-29    19:54   28 20315996   68  H2_full  0.90     0.90   4558   10.0   1928   0   28   28   50   120189    DPERP    G	1.5  -
Row:     47848 47848 05-06-29    21:28   26 20201684   66  H2_full  0.90     0.90   4558    8.0   1928   0   28   28   50   116201      AMO    G	1.5  -
Row:     47849 47849 05-06-29    22:37   35 27624273   90  H2_full  0.90     0.90   4558    8.0   1928   0   28   28   50   146790      AMO    G	1.5  -
Row:     47850 47849 05-06-30    00:14   29 20224123   69  H2_full  0.91     0.90   4558   10.0   1928   0   28   28   50   115879    DPERP    G	1.5  -
Row:     47851 47849 05-06-30    01:26   28 20151097   66  H2_full  0.91     0.90   4558   10.0   1928   0   28   28   50   115257    DPERP    G	1.5  -
Row:     47852 47849 05-06-30    02:35   27 19025157   69  H2_full  0.88     0.87   4558   10.0   1928   0   28   28   50   116942    DPERP    G	1.5  -
Row:     47853 47853 05-06-30    03:53    1      646    4  D2_full  0.08     0.09   4558    8.0   1928   0   28   28   50     1952      AMO    J	1.9  -
Row:     47854 47854 05-06-30    04:06    1      546    4  D2_full  0.85     0.99   4558    8.0   1928   0   28   28   50      157      AMO    J	1.9  -
Row:     47855 47855 05-06-30    04:17    1     1238    9  D2_full  0.02     0.02   4558    8.0   1928   0   28   28   50     9016      AMO    J	1.9  -
Row:     47856 47856 05-06-30    04:35    1      700    4  D2_full  0.04     0.05   4558    8.0   1928   0   28   28   50     3395      AMO    J	1.9  -
Row:     47857 47857 05-06-30    04:51   26 20463133   75  D2_full  0.91     0.91   4558    8.0   1928   0   28   28   50   125236      AMO    G	1.5  -
Row:     47858 47857 05-06-30    06:10   13  9316720   65  D2_full  0.93     0.93   4558   10.0   1928   0   28   28   50    82510    DPERP    G	1.5  -
Row:     47859 47857 05-06-30    08:26   29 20156608   80  D2_full  0.90     0.90   4558   10.0   1928   0   28   28   50   123254    DSWAP    G	1.5  -
Row:     47860 47857 05-06-30    09:49   29 20060679   66  H2_full  0.89     0.89   4558   10.0   1928   0   28   28   50   118660    DSWAP    G	1.5  -
Row:     47861 47857 05-06-30    10:58    2  1238592    5  H2_full  0.92     0.92   4558   10.0   1928   0   28   28   50     7438    DSWAP    G	1.5  -
Row:     47862 47857 05-06-30    11:10   29 20080802   66  H2_full  0.90     0.90   4558   10.0   1928   0   28   28   50   122887    DSWAP    G	1.5  -
Row:     47863 47857 05-06-30    12:19   13  9212205   31  H2_full  0.87     0.87   4558   10.0   1928   0   28   28   50    54837    DSWAP    G	1.5  -
Row:     47864 47857 05-06-30    12:57   28 20070146   70  H2_full  0.90     0.90   4558   10.0   1928   0   28   28   50   110078    DSWAP    G	1.5  -
Row:     47865 47857 05-06-30    14:10   31 21838754   71  H2_full  0.89     0.89   4558   10.0   1928   0   28   28   50   122070    DSWAP    G	1.5  -
Row:     47866 47857 05-06-30    15:24   29 20626376   84  H2_full  0.92     0.91   4558   10.0   1928   0   28   28   50   150783    DSWAP    G	1.5  -
Row:     47867 47857 05-06-30    16:53   29 20335629   68  H2_full  0.90     0.90   4558   10.0   1928   0   28   28   50   119145    DSWAP    G	1.5  -
Row:     47868 47857 05-06-30    18:08   28 20130230   68  H2_full  0.90     0.90   4558   10.0   1928   0   28   28   50   114972    DSWAP    G	1.5  -
Row:     47869 47857 05-06-30    19:20   29 20055706   66  H2_full  0.90     0.89   4558   10.0   1928   0   28   28   50   115045    DSWAP    G	1.5  -
Row:     47870 47857 05-06-30    20:30   29 20073247   81  H2_full  0.91     0.91   4558   10.0   1928   0   28   28   50   125803    DSWAP    G	1.5  -
Row:     47871 47857 05-06-30    21:54   29 20359135   73  H2_full  0.91     0.90   4558   10.0   1928   0   28   28   50   118226    DSWAP    G	1.5  -
Row:     47881 47857 05-07-07    16:50    1   265989    8  H2_full  0.99     0.98   4558   10.0      0   0  148  148   20    22811     test    J	1.9  -
Row:     47882 47857 05-07-07    17:06    1      381    3  H2_full  0.00     0.00   4558   10.0      0   0   28   28   50        0     test    J	1.9  -
Row:     47883 47857 05-07-07    17:14    1     9899    1  H2_full  1.37     1.39   4558   10.0      0   0  148  148   20      817     test    J	1.9  -
Row:     47884 47857 05-07-08    14:38    1      589    6  H2_full  0.00     0.00   4558   10.0   1928   0   28   28   50        0     test    J	1.9  -
Row:     47885 47857 05-07-08    14:49   29 20764171   76  H2_full  0.91     0.90   4558   10.0   1928   0   28   28   50   261944     test    J	1.9  -
Row:     47886 47857 05-07-08    16:09   25 17844229   64  H2_full  0.91     0.90   4558   10.0   1928   0   28   28   50   222490     test    J	1.9  -
